sec,luminance,rms_contrast,motion,edges,cuts,saturation
333,0.21340,0.19329,0.04425,0.23837,0.00000,0.28388
334,0.19236,0.17272,0.04157,0.20092,0.00000,0.26786
335,0.22213,0.20532,0.04127,0.20506,0.00000,0.28620
336,0.21246,0.19694,0.02947,0.20385,0.00000,0.27890
337,0.21562,0.19780,0.01503,0.20371,0.00000,0.28367
338,0.21725,0.19887,0.01582,0.22275,0.00000,0.28561
339,0.45441,0.21054,0.07589,0.30451,1.00000,0.22932
340,0.46122,0.21300,0.01546,0.31219,0.00000,0.23196
341,0.39653,0.17237,0.07196,0.29899,1.00000,0.49633
342,0.37537,0.16780,0.07535,0.29974,0.00000,0.62500
343,0.36700,0.16612,0.07023,0.28495,0.00000,0.61864
344,0.34262,0.15731,0.05935,0.30147,0.00000,0.63203
345,0.32162,0.15601,0.05506,0.32059,0.00000,0.66474
346,0.37551,0.16117,0.06010,0.32472,1.00000,0.50183
347,0.41154,0.16149,0.02955,0.36124,0.00000,0.37473
348,0.42549,0.17165,0.05580,0.48056,1.00000,0.33867
349,0.44379,0.18452,0.02077,0.59347,0.00000,0.30452
350,0.39097,0.20078,0.05149,0.50025,1.00000,0.33097
351,0.38021,0.21552,0.02263,0.47201,0.00000,0.34076
352,0.38692,0.21559,0.04750,0.43189,1.00000,0.32616
353,0.44874,0.24613,0.02123,0.33437,0.00000,0.23944
354,0.43301,0.24489,0.01543,0.39856,0.00000,0.25721
355,0.43497,0.24392,0.01863,0.40017,0.00000,0.25656
356,0.41228,0.19803,0.06165,0.43493,1.00000,0.30622
357,0.39632,0.17538,0.01854,0.44971,0.00000,0.33454
358,0.39709,0.17604,0.03350,0.45190,0.00000,0.33546
359,0.39396,0.17513,0.02238,0.45019,0.00000,0.33798
360,0.39346,0.17541,0.02240,0.45008,0.00000,0.34098
361,0.39185,0.17537,0.03228,0.44843,0.00000,0.33943
362,0.35186,0.16814,0.04860,0.32140,1.00000,0.35788
363,0.34100,0.16481,0.02116,0.29792,0.00000,0.35612
364,0.34236,0.16459,0.04595,0.31825,1.00000,0.45116
365,0.34801,0.16996,0.00559,0.33826,0.00000,0.54798
366,0.35398,0.16961,0.00932,0.33681,0.00000,0.54735
367,0.32437,0.16943,0.07086,0.29652,1.00000,0.47808
368,0.25946,0.19088,0.00645,0.31520,0.00000,0.32817
369,0.41112,0.20978,0.12517,0.31325,2.00000,0.26448
370,0.44273,0.24421,0.02449,0.37621,0.00000,0.23569
371,0.39896,0.21558,0.07874,0.37903,1.00000,0.36362
372,0.31162,0.15143,0.03538,0.39499,0.00000,0.61657
373,0.30467,0.15023,0.02039,0.39589,0.00000,0.61597
374,0.48326,0.18887,0.05564,0.38730,1.00000,0.25496
375,0.47996,0.18792,0.01512,0.38871,0.00000,0.25465
376,0.39216,0.17864,0.09009,0.39762,1.00000,0.30372
377,0.45028,0.20491,0.07352,0.40623,1.00000,0.24309
378,0.44222,0.18152,0.12011,0.40970,1.00000,0.28417
379,0.45093,0.17670,0.05693,0.37184,0.00000,0.28535
380,0.51717,0.23437,0.05809,0.40183,1.00000,0.21046
381,0.50031,0.23670,0.03632,0.39664,0.00000,0.21632
382,0.49659,0.23636,0.03835,0.38962,0.00000,0.21503
383,0.32931,0.18785,0.08873,0.30212,1.00000,0.34208
384,0.29723,0.17401,0.05975,0.28810,0.00000,0.36570
385,0.35335,0.18771,0.06499,0.34857,1.00000,0.32520
386,0.40532,0.20243,0.03681,0.40139,0.00000,0.28917
387,0.33289,0.18659,0.10628,0.31974,1.00000,0.34331
388,0.33040,0.19377,0.04138,0.30397,0.00000,0.33919
389,0.41714,0.20775,0.06803,0.42758,1.00000,0.27888
390,0.30314,0.18345,0.07550,0.30070,1.00000,0.35127
391,0.29538,0.18688,0.05347,0.27627,0.00000,0.34846
392,0.35005,0.19813,0.07488,0.35766,1.00000,0.32060
393,0.41623,0.22577,0.04639,0.42312,0.00000,0.29104
394,0.41022,0.22424,0.05004,0.43209,0.00000,0.29463
395,0.40565,0.22357,0.05986,0.43620,0.00000,0.29775
396,0.40171,0.22103,0.03585,0.43660,0.00000,0.29643
397,0.39099,0.21753,0.04266,0.43371,0.00000,0.30504
398,0.39862,0.21954,0.04480,0.43271,0.00000,0.29920
399,0.41421,0.22241,0.05375,0.40815,1.00000,0.28272
400,0.37512,0.21085,0.05665,0.41062,1.00000,0.42421
401,0.33847,0.19517,0.04279,0.41463,0.00000,0.56493
402,0.31518,0.17880,0.04694,0.39108,0.00000,0.58977
403,0.29429,0.15518,0.04101,0.35398,0.00000,0.61087
404,0.39543,0.24676,0.06273,0.37316,1.00000,0.31966
405,0.42236,0.26726,0.02455,0.38355,0.00000,0.25732
406,0.41019,0.26688,0.02559,0.37457,0.00000,0.25994
407,0.40678,0.26795,0.02465,0.36950,0.00000,0.26184
408,0.40393,0.26696,0.02024,0.36911,0.00000,0.26514
409,0.30134,0.17107,0.05534,0.32754,1.00000,0.55569
410,0.28521,0.15456,0.02629,0.32680,0.00000,0.61534
411,0.28055,0.15933,0.02040,0.32533,0.00000,0.61678
412,0.31782,0.16648,0.05570,0.34288,1.00000,0.28284
413,0.31071,0.16858,0.03634,0.32910,0.00000,0.28732
414,0.30578,0.16855,0.03073,0.32464,0.00000,0.28965
415,0.39994,0.23835,0.05556,0.46069,1.00000,0.35445
416,0.58798,0.20365,0.07821,0.36672,0.00000,0.18520
417,0.40462,0.22637,0.06687,0.49010,1.00000,0.25088
418,0.37557,0.23760,0.06247,0.50770,1.00000,0.24172
419,0.38974,0.22903,0.04699,0.44467,0.00000,0.33653
420,0.39212,0.22992,0.05232,0.44667,0.00000,0.31808
421,0.38471,0.22735,0.04204,0.45118,0.00000,0.32505
422,0.39049,0.22972,0.03656,0.45777,0.00000,0.33156
423,0.39686,0.23109,0.06685,0.46152,0.00000,0.32404
424,0.42013,0.22608,0.09723,0.46624,0.00000,0.33031
425,0.33417,0.17778,0.07592,0.31105,1.00000,0.26334
426,0.25115,0.13111,0.02440,0.16427,0.00000,0.19979
427,0.25590,0.12843,0.04947,0.18708,1.00000,0.27205
428,0.34755,0.17577,0.03052,0.38962,0.00000,0.60406
429,0.34332,0.17583,0.02233,0.38923,0.00000,0.60837
430,0.34347,0.17554,0.01610,0.39093,0.00000,0.60742
